doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
uk_england_london_the_milestone_hotel,the milestone hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d193121-r50379994-The_Milestone_Hotel-London_England.html,-1,london,-1,UK,w8 5dl,-1,-1,127,4.897637795275591,4.7795275590551185,4.913385826771654,4.7795275590551185,4.503937007874016,0.0,4.774803149606299,,
uk_england_london_the_soho_hotel,the soho hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d497689-r50382625-The_Soho_Hotel-London_England.html,-1,london,-1,UK,w1d 3dh,-1,-1,170,4.958823529411765,4.894117647058824,4.764705882352941,4.817647058823529,4.329411764705882,0.0,4.752941176470588,,
uk_england_london_hotel_41,hotel 41,http://www.tripadvisor.com/ShowUserReviews-g186338-d188961-r50376471-Hotel_41-London_England.html,-1,london,-1,UK,sw1w 0ps,-1,-1,226,4.871681415929204,4.592920353982301,4.8584070796460175,4.623893805309734,4.367256637168142,0.0,4.662831858407079,,
uk_england_london_sofitel_st_james_london,sofitel st james london,http://www.tripadvisor.com/ShowUserReviews-g186338-d236350-r50472487-Sofitel_St_James_London-London_England.html,-1,london,-1,UK,sw1y 4an,-1,-1,256,4.81640625,4.59765625,4.5859375,4.8671875,4.2578125,0.0,4.625,,
uk_england_london_the_halkin,the halkin,http://www.tripadvisor.com/ShowUserReviews-g186338-d187994-r50379452-The_Halkin-London_England.html,-1,london,-1,UK,sw1x 7dj,-1,-1,39,4.923076923076923,4.666666666666667,4.615384615384615,4.615384615384615,4.17948717948718,0.0,4.6000000000000005,,
uk_england_london_the_montague_on_the_gardens,the montague on the gardens,http://www.tripadvisor.com/ShowUserReviews-g186338-d192036-r50447583-The_Montague_on_The_Gardens-London_England.html,-1,london,-1,UK,wc1b 5bj,-1,-1,301,4.803986710963455,4.32890365448505,4.807308970099668,4.770764119601329,4.335548172757475,0.0,4.609302325581394,,
uk_england_london_city_inn_westminster,city inn westminster,http://www.tripadvisor.com/ShowUserReviews-g186338-d275581-r50526124-City_Inn_Westminster-London_England.html,-1,london,-1,UK,sw1p 4dd,-1,-1,301,4.794019933554817,4.607973421926911,4.534883720930233,4.332225913621262,4.475083056478406,0.0,4.5488372093023255,,
uk_england_london_apex_city_of_london,apex city of london,http://www.tripadvisor.com/ShowUserReviews-g186338-d572859-r50480332-Apex_City_of_London-London_England.html,-1,london,-1,UK,ec3n 4ax,-1,-1,301,4.8305647840531565,4.674418604651163,4.54485049833887,4.451827242524917,4.488372093023256,0.0,4.598006644518272,,
uk_england_london_the_chesterfield_mayfair_hotel,the chesterfield mayfair hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d192064-r50367449-The_Chesterfield_Mayfair_Hotel-London_England.html,-1,london,-1,UK,w1j 5eb,-1,-1,301,4.823920265780731,4.358803986710964,4.707641196013289,4.813953488372093,4.385382059800665,0.0,4.617940199335548,,
uk_england_london_covent_garden_hotel,covent garden hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d188937-r48842321-Covent_Garden_Hotel-London_England.html,-1,london,-1,UK,wc2h 9hb,-1,-1,88,4.931818181818182,4.784090909090909,4.761363636363637,4.875,4.159090909090909,0.0,4.702272727272728,,
uk_england_london_draycott_hotel,draycott hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d187737-r49752128-Draycott_Hotel-London_England.html,-1,london,-1,UK,sw3 2rp,-1,-1,60,4.783333333333333,4.716666666666667,4.7,4.866666666666666,4.433333333333334,0.0,4.7,,
uk_england_london_egerton_house_hotel,egerton house hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d192122-r50267450-Egerton_House_Hotel-London_England.html,-1,london,-1,UK,sw3 2bx,-1,-1,55,4.836363636363636,4.654545454545454,4.8545454545454545,4.909090909090909,4.472727272727273,0.0,4.745454545454545,,
uk_england_london_the_sumner_hotel,the sumner hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d618139-r50134856-The_Sumner_Hotel-London_England.html,-1,london,-1,UK,w1h 7qr,-1,-1,254,4.7952755905511815,4.429133858267717,4.582677165354331,4.618110236220472,4.460629921259843,0.0,4.577165354330709,,
